Benchmarks	system.cpu.cpi	sim_seconds	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
0	1.708024	0.170802	0.020095	0.000075	0.290862
1	1.595529	0.159553	0.010625	0.000068	0.478948
2	1.610981	0.161098	0.012479	0.000066	0.404549
3	1.595166	0.159517	0.008710	0.000074	0.706986
4	1.669148	0.166915	0.016066	0.000088	0.367392
5	1.595529	0.159553	0.010625	0.000068	0.478948
6	1.603306	0.160331	0.011099	0.000066	0.474444
7	1.599366	0.159937	0.011124	0.000066	0.456214
8	1.633976	0.163398	0.012475	0.000068	0.480841
9	1.708920	0.170892	0.014968	0.000080	0.593104
10	1.590412	0.159041	0.012475	0.000068	0.347581
11	1.572851	0.157285	0.012471	0.000068	0.303687
12	1.610981	0.161098	0.012479	0.000066	0.404549
13	1.610973	0.161097	0.012479	0.000066	0.404550
14	1.599551	0.159955	0.011122	0.000068	0.456219
15	1.595529	0.159553	0.010625	0.000068	0.478948
16	1.603306	0.160331	0.011099	0.000066	0.474444
17	1.599366	0.159937	0.011124	0.000066	0.456214
18	1.593084	0.159308	0.011126	0.000066	0.436266
19	1.708920	0.170892	0.014968	0.000080	0.593104
20	1.578811	0.157881	0.010160	0.000050	0.300191
21	1.572612	0.157261	0.010574	0.000038	0.211152
