Benchmarks	system.cpu.cpi	sim_seconds	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
0	1.237785	0.123779	0.009312	0.009207	0.083576
1	1.184423	0.118442	0.001881	0.009192	0.141821
2	1.127981	0.112798	0.003310	0.000019	0.447628
3	1.189616	0.118962	0.002008	0.009208	0.155048
4	1.369971	0.136997	0.003701	0.041820	0.037071
5	1.184423	0.118442	0.001881	0.009192	0.141821
6	1.120711	0.112071	0.001929	0.000019	0.866079
7	1.119790	0.111979	0.001929	0.000019	0.844936
8	1.195855	0.119586	0.003310	0.009191	0.132559
9	1.150537	0.115054	0.003044	0.000026	0.905502
10	1.190021	0.119002	0.003310	0.009191	0.113378
11	1.189714	0.118971	0.003310	0.009191	0.112403
12	1.127981	0.112798	0.003310	0.000019	0.447628
13	1.127981	0.112798	0.003310	0.000019	0.447628
14	1.184681	0.118468	0.001929	0.009192	0.141414
15	1.184423	0.118442	0.001881	0.009192	0.141821
16	1.120711	0.112071	0.001929	0.000019	0.866079
17	1.119790	0.111979	0.001929	0.000019	0.844936
18	1.119554	0.111955	0.001929	0.000019	0.838284
19	1.150537	0.115054	0.003044	0.000026	0.905502
20	1.100220	0.110022	0.001190	0.000013	0.696972
21	1.094560	0.109456	0.000914	0.000009	0.453417
