Benchmarks	system.cpu.cpi	simSeconds	system.cpu.dcache.overallMissRate::total	system.cpu.icache.overallMissRate::total	system.l2.overallMissRate::total
0	2.655899	0.265590	0.062567	0.000094	0.964161
1	2.623660	0.262366	0.060971	0.000086	0.999978
2	1.990611	0.199061	0.030487	0.000096	0.999957
3	2.621174	0.262117	0.061171	0.000094	0.995574
4	2.642416	0.264242	0.061769	0.000113	0.981666
5	2.642289	0.264229	0.061769	0.000087	0.981769
6	2.642289	0.264229	0.061769	0.000085	0.981781
7	2.624552	0.262455	0.061370	0.000087	0.991269
8	2.635567	0.263557	0.061370	0.000087	0.990787
9	2.636463	0.263646	0.061370	0.000087	0.990787
10	2.634983	0.263498	0.061370	0.000087	0.990787
11	2.632517	0.263252	0.061370	0.000087	0.990787
12	2.623660	0.262366	0.060971	0.000087	0.999970
13	2.623660	0.262366	0.060971	0.000087	0.999970
14	2.636463	0.263646	0.061370	0.000086	0.990794
15	2.636463	0.263646	0.061370	0.000085	0.990798
16	2.623660	0.262366	0.060971	0.000086	0.999978
17	2.623660	0.262366	0.060971	0.000086	0.999978
18	2.635567	0.263557	0.061370	0.000087	0.990787
19	3.921299	0.392130	0.121940	0.000082	0.999992
20	1.990611	0.199061	0.030487	0.000096	0.999957
21	1.654755	0.165476	0.015244	0.000079	0.999914
