Benchmarks	system.cpu.cpi	simSeconds	system.cpu.dcache.overallMissRate::total	system.cpu.icache.overallMissRate::total	system.l2.overallMissRate::total
0	10.281291	0.514065	0.121912	0.000020	0.998645
1	10.279214	0.513961	0.121829	0.000018	0.999989
2	6.807984	0.340399	0.060917	0.000012	0.999982
3	10.415855	0.520793	0.121836	0.000020	0.999875
4	10.281016	0.514051	0.121870	0.000021	0.999321
5	10.281016	0.514051	0.121870	0.000019	0.999333
6	10.281021	0.514051	0.121870	0.000018	0.999335
7	10.415907	0.520795	0.121845	0.000019	0.999752
8	10.278825	0.513941	0.121829	0.000018	0.999989
9	10.279407	0.513970	0.121845	0.000019	0.999746
10	10.276933	0.513847	0.121845	0.000019	0.999746
11	10.269634	0.513482	0.121845	0.000019	0.999746
12	10.279168	0.513958	0.121829	0.000019	0.999987
13	10.281172	0.514059	0.121829	0.000019	0.999985
14	10.279440	0.513972	0.121845	0.000018	0.999748
15	10.279440	0.513972	0.121845	0.000018	0.999748
16	10.279049	0.513952	0.121829	0.000018	0.999989
17	10.279214	0.513961	0.121829	0.000018	0.999989
18	10.278825	0.513941	0.121829	0.000018	0.999989
19	17.658315	0.882916	0.243654	0.000022	0.999994
20	6.807984	0.340399	0.060917	0.000012	0.999982
21	5.177899	0.258895	0.030461	0.000008	0.999966
